,Heading,Subtitle,Author,Narrator,Duration,Released_Date,Language,Rating,Rating_count
0,You Are the Best Wife,A true love story,Ajay K. Pandey,Shlok Menon,449,09-01-17,English,4.5,520
1,Gateway,"Expeditionary Force, Book 18",Craig Alanson,R.C. Bray,1166,29-04-25,English,No Rating,No Ratings_count
2,The Commonsense Diet,No Subtitle,Rujuta Diwekar,Nayan S. Parekh,342,24-04-25,English,No Rating,No Ratings_count
3,21 Shreshth Kahaniyan Prem Chand (Hindi Edition),No Subtitle,Munshi Premchand,Avdhesh Tondak,464,19-07-21,Hindi,5,197
4,"The Sandman, Act I (Hindi Edition)",No Subtitle,"Neil Gaiman, Dirk Maggs","Tabu, Vijay Varma, Manoj Bajpayee, Sushant Divgikar, Adarsh Gourav, Neeraj Kabi, Kubbra Sait, Tillotama Shome, full cast",663,27-04-22,Hindi,4.5,424
5,Gaban [Embezzlement],No Subtitle,Munshi Premchand,Sameer Goswami,696,21-02-22,Hindi,4.5,139
6,The Quick and Easy Way to Effective Speaking,No Subtitle,Dale Carnegie,Avinash Kumar Singh,399,14-06-18,English,4.5,84
7,The Art of Influencing People,No Subtitle,Virender Kapoor,Rajat Verman,NA,03-05-18,English,4,142
8,Complete Chanakya Neeti,No Subtitle,R.P. Jain,Nathan Dcosta,NA,22-07-21,English,4.5,328
9,Art of Seduction,An Indispensible Primer on the Ultimate Form of Power,Robert Greene,Joseph Powers,1371,01-05-15,English,4.5,156
10,Great Big Beautiful Life,No Subtitle,Emily Henry,Julia Whelan,727,22-04-25,English,4.5,2
11,My Experiments with Truth,No Subtitle,Mohandas K. Gandhi,Surjan Singh,1151,14-10-21,English,4.5,82
12,The Twisted Women's Book Club,No Subtitle,"Karin Slaughter, Lee Child, B.A. Paris, Caroline Kepnes, Oyinkan Braithwaite, Sarah Pekkanen, Linwood Barclay, Naomi Hirahara, K. J. Howe, Robert Dugoni, Alison Gaylin, Heather Gudenkauf, Shari Lapena, Clare Mackintosh, Stacy Willingham","January LaVoy, Andi Arndt, Saskia Maarleveld, Kathleen Early, full cast",649,10-04-25,English,No Rating,No Ratings_count
